"","Reason_for_absence","Month_of_absence","Day_of_the_week","Seasons","Transportation_expense","Distance_from_Residence_to_Work","Service_time","Age","Work_load_Average_per_day","Hit_target","Disciplinary_failure","Education","Son","Social_drinker","Social_smoker","Pet","Weight","Height","Body_mass_index","Absenteeism_time_in_hours","Prediction"
"1",23,7,4,1,179,51,18,38,239554,97,0,1,0,1,0,0,89,170,31,2,3.92469078279281
"2",23,7,6,1,260,50,11,36,239554,97,0,1,4,1,0,0,65,168,23,4,5.69379135067801
"3",19,7,2,1,155,12,14,34,239554,97,0,1,2,1,0,0,95,196,25,40,17.2023286437419
"4",22,7,2,1,235,11,14,37,239554,97,0,3,1,0,0,1,88,172,29,8,7.05204512154512
"5",11,7,4,1,260,50,11,36,239554,97,0,1,4,1,0,0,65,168,23,8,8.06834544915951
"6",11,7,4,1,179,51,18,38,239554,97,0,1,0,1,0,0,89,170,31,1,7.33282064654671
"7",21,7,2,1,179,51,18,38,239554,97,0,1,0,1,0,0,89,170,31,8,6.4150949629463
"8",23,8,4,1,248,25,14,47,205917,92,0,1,2,0,0,1,86,165,32,2,2.72901479739215
"9",13,8,2,1,361,52,3,28,205917,92,0,1,1,1,0,4,80,172,27,40,11.0454206349206
"10",23,8,3,1,289,36,13,33,205917,92,0,1,2,1,0,1,90,172,30,1,6.59029429785213
"11",23,8,6,1,179,51,18,38,205917,92,0,1,0,1,0,0,89,170,31,2,3.05779201859321
"12",28,8,6,1,235,29,12,48,205917,92,0,1,1,0,1,5,88,163,33,8,5.3066257243354
"13",0,9,3,4,289,36,13,33,241476,92,1,1,2,1,0,1,90,172,30,0,5.00698370629371
"14",23,9,6,4,179,51,18,38,241476,92,0,1,0,1,0,0,89,170,31,3,3.12089116628053
"15",23,9,6,4,260,50,11,36,241476,92,0,1,4,1,0,0,65,168,23,4,5.73710659384326
"16",28,10,3,4,225,26,9,28,253465,93,0,1,1,0,0,2,69,169,24,2,2.86609670199042
"17",14,11,2,4,291,31,12,40,306345,93,0,1,1,1,0,1,73,171,25,40,14.1531098817849
"18",28,11,2,4,248,25,14,47,306345,93,0,1,2,0,0,1,86,165,32,1,4.97928764961501
"19",23,11,5,4,291,31,12,40,306345,93,0,1,1,1,0,1,73,171,25,3,3.17874564071747
"20",23,12,3,4,248,25,14,47,261306,97,0,1,2,0,0,1,86,165,32,1,3.59253044538133
"21",26,12,4,4,235,11,14,37,261306,97,0,3,1,0,0,1,88,172,29,8,3.55111393573746
"22",27,1,2,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,28,0,3.57210426371709
"23",1,2,4,2,246,25,16,41,302585,99,0,1,0,1,0,0,67,170,23,8,8.89469057356615
"24",11,2,4,2,179,51,18,38,302585,99,0,1,0,1,0,0,89,170,31,8,8.48223764140197
"25",28,2,6,2,260,50,11,36,302585,99,0,1,4,1,0,0,65,168,23,2,7.0367990285179
"26",23,2,3,2,225,26,9,28,302585,99,0,1,1,0,0,2,69,169,24,2,2.91947051329491
"27",13,3,6,2,260,50,11,36,343253,95,0,1,4,1,0,0,65,168,23,40,16.6227425164713
"28",28,3,6,2,260,50,11,36,343253,95,0,1,4,1,0,0,65,168,23,4,10.279999038312
"29",23,3,6,2,225,26,9,28,343253,95,0,1,1,0,0,2,69,169,24,1,2.92948299529945
"30",11,3,2,3,225,26,9,28,343253,95,0,1,1,0,0,2,69,169,24,8,8.54948216173992
"31",28,4,3,3,155,12,14,34,326452,96,0,1,2,1,0,0,95,196,25,1,5.35540500606832
"32",13,4,4,3,246,25,16,41,326452,96,0,1,0,1,0,0,67,170,23,24,10.8110362936356
"33",28,4,6,3,225,26,9,28,326452,96,0,1,1,0,0,2,69,169,24,2,2.60880259247839
"34",23,4,5,3,118,13,18,50,326452,96,0,1,1,1,0,0,98,178,31,1,7.38072117532796
"35",23,4,6,3,291,31,12,40,326452,96,0,1,1,1,0,1,73,171,25,3,3.3172483768829
"36",28,4,6,3,291,31,12,40,326452,96,0,1,1,1,0,1,73,171,25,1,3.01933593932046
"37",12,4,4,3,155,12,14,34,326452,96,0,1,2,1,0,0,95,196,25,24,13.2400781645607
"38",7,4,6,3,235,11,14,37,326452,96,0,3,1,0,0,1,88,172,29,3,10.2780567821068
"39",28,5,5,3,155,12,14,34,378884,92,0,1,2,1,0,0,95,196,25,2,3.91257532786122
"40",28,5,2,3,155,12,14,34,378884,92,0,1,2,1,0,0,95,196,25,1,5.27734324136244
"41",19,5,3,3,225,26,9,28,378884,92,0,1,1,0,0,2,69,169,24,8,8.07674271083994
"42",7,5,4,3,184,42,7,27,378884,92,0,1,0,0,0,0,58,167,21,4,9.06981543086563
"43",13,5,4,3,289,36,13,33,378884,92,0,1,2,1,0,1,90,172,30,24,9.9985063020313
"44",13,5,4,3,118,13,18,50,378884,92,0,1,1,1,0,0,98,178,31,24,11.7876713276333
"45",10,6,3,3,246,25,16,41,377550,94,0,1,0,1,0,0,67,170,23,24,8.22280960043628
"46",23,6,3,3,118,13,18,50,377550,94,0,1,1,1,0,0,98,178,31,1,5.22545736275164
"47",13,6,4,3,118,13,18,50,377550,94,0,1,1,1,0,0,98,178,31,80,12.2077258730878
"48",28,6,2,1,289,48,29,49,377550,94,0,1,0,0,0,2,108,172,36,2,6.33042737709548
"49",28,6,5,1,225,26,9,28,377550,94,0,1,1,0,0,2,69,169,24,2,3.75618028418972
