Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Social drinker,Social smoker,Weight,Height,Body mass index,Reason for absence_0.0,Reason for absence_1.0,Reason for absence_3.0,Reason for absence_4.0,Reason for absence_5.0,Reason for absence_6.0,Reason for absence_7.0,Reason for absence_8.0,Reason for absence_9.0,Reason for absence_10.0,Reason for absence_11.0,Reason for absence_12.0,Reason for absence_13.0,Reason for absence_14.0,Reason for absence_15.0,Reason for absence_16.0,Reason for absence_17.0,Reason for absence_18.0,Reason for absence_19.0,Reason for absence_21.0,Reason for absence_22.0,Reason for absence_23.0,Reason for absence_24.0,Reason for absence_25.0,Reason for absence_26.0,Reason for absence_27.0,Reason for absence_28.0,Month of absence_0.0,Month of absence_1.0,Month of absence_2.0,Month of absence_3.0,Month of absence_4.0,Month of absence_5.0,Month of absence_6.0,Month of absence_7.0,Month of absence_8.0,Month of absence_9.0,Month of absence_10.0,Month of absence_11.0,Month of absence_12.0,Day of the week_2,Day of the week_3,Day of the week_4,Day of the week_5,Day of the week_6,Seasons_1,Seasons_2,Seasons_3,Seasons_4
36.0,13.0,33.0,343253.0,95.0,0.0,1.0,1.0,0.0,90.0,172.0,30.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
16.0,8.0,32.0,284853.0,91.0,0.0,3.0,0.0,0.0,75.0,178.0,25.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
51.0,18.0,38.0,239409.0,98.0,0.0,1.0,1.0,0.0,89.0,170.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
12.0,14.0,34.0,343253.0,95.0,0.0,1.0,1.0,0.0,95.0,196.0,25.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
51.0,18.0,38.0,236629.0,93.0,0.0,1.0,1.0,0.0,89.0,170.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
13.0,18.0,50.0,377550.0,94.0,0.0,1.0,1.0,0.0,98.0,178.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
36.0,13.0,33.0,265615.0,94.0,0.0,1.0,1.0,0.0,90.0,172.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
27.0,6.0,29.0,265017.0,88.0,1.0,1.0,1.0,1.0,75.0,185.0,22.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
20.0,13.0,43.0,284031.0,97.0,0.0,1.0,1.0,0.0,106.0,167.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
25.0,16.0,41.0,251818.0,96.0,0.0,1.0,1.0,0.0,67.0,170.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
26.0,9.0,30.0,246074.0,99.0,0.0,3.0,0.0,0.0,56.0,171.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
11.0,14.0,37.0,236629.0,93.0,0.0,3.0,0.0,0.0,88.0,172.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
49.0,11.0,36.0,378884.0,92.0,1.0,1.0,0.0,1.0,65.0,174.0,21.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
26.0,9.0,28.0,306345.0,93.0,0.0,1.0,0.0,0.0,69.0,169.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
13.0,18.0,50.0,244387.0,98.0,0.0,1.0,1.0,0.0,98.0,178.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
17.0,12.0,31.0,246074.0,99.0,0.0,1.0,1.0,0.0,70.0,169.0,25.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20.0,13.0,43.0,230290.0,92.0,0.0,1.0,1.0,0.0,106.0,167.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
31.0,12.0,40.0,261756.0,87.0,0.0,1.0,1.0,0.0,73.0,171.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
13.0,18.0,50.0,246288.0,91.0,0.0,1.0,1.0,0.0,98.0,178.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
